$,maintenance check indicator
PK,peak
PLA,practice low approach
PLASI,pulsating visual approach slope indicator
PLNS,plains
PLS,please
PLTO,plateau
PLW,plow/plowed
PM,post meridian
PN,prior notice required
PNHDL,pandhandle
PNO,precipitation amount not available
POS,positive
POSLY,positively
PPI,Plan Position Indicator
PPINA,radar weather reports not available
PPINE,radar weather report no echoes observed
PPINO,radar weather report equipment inoperative due to breakdown
PPIOK,radar weather report equipment operation resumed
PPIOM,radar weather report equipment inoperative due to maintenance
PPO,prior permission only
PPR,prior permission required
PPSN,present position
PRA,precision radar approach
PRBL,probable
PRBLTY,probability
PRBLY,probably
PRECD,precede
PRECDD,preceded
PRECDG,preceding
PRECDS,precedes
PRES,pressure
PRESFR,pressure falling rapidly
PRESRR,pressure rising rapidly
PRIM,primary
PRIN,principal
PRIND,present indications are
PRJMP,pressure jump
PRM,precision radar monitor
PRN,psuedo random noise
PROB,probability
PROC,procedure
PROCS,procedures
PROD,produce
PRODG,producing
PROG,forecast/prognosis/prognostic
PROGD,forecasted
PROGS,forecasts
PROP,propeller aircraft
PRSNT,present
PRSNTLY,presently
PRST,persist
PRSTNC,persistence
PRSTNT,persistent
PRSTS,persists
PRVD,provide
PRVDD,provided
PRVDG,providing
PRVDS,provides
PS,plus
PSBL,possible
PSBLTY,possiblity
PSBLY,possibly
PSG,passage/passing
PSN,position
PSND,positioned
PSP,pacific standard time
PSP,pierced steel planking
PSR,packed snow on runway(s)
PTCHY,patchy
PTLY,partly
PTN,procedure turn
PTNL,potential
PTNLY,potentially
PTNS,portions
PUGET,Puget Sound
PVA,positive vorticity advection
PVL,prevail
PVLD,prevailed
PVLG,prevailing
PVLS,prevails
PVLT,prevalent
PVT,private operator or private
PWINO,precipitation identifier sensor not available
PWR,power
QBO,quasi-biennial oscillation
QDM,magnetic bearing to facility
QDR,manetci bearing from facility
QFE,height above airport elevation
QN,question
QPFERD,NMC excessive rainfall discussion
QPFHSD,NMC heavy snow discussion
QPFSPD,NMC special precipitation discussion
QSTNRY,quasistationary
QTR,quarter
QUAD,quadrant
QUE,Quebec
R,right
RA,radio altimeter
RABA,no RAWIN observation (no balloons available)
RABAL,radiosonde balloon wind data
RABAR,radiosonde balloon release
RACO,no RAWIN observation (communications out)
RADAT,radiosonde observation data
RADNO,report missing account radio failure
RAFI,radiosonde observation not filed
RAFRZ,radiosonde observation freezing levels
RAHE,no RAWIN observation (no gas available)
RAI,runway alignment indicator
RAICG,radiosonde observation icing at
RAIL,runway alignment indicator lights
RAMOS,remote automatic meterological observing system
RAOB,radiosonde observation
RAOBS,radiosonde observations
RAPCON,radar approach control
RAPI,radiosonde report already sent in PIBAL collection
RAREP,radar weather report
RAVU,radiosonde analysis and verification unit
RAWE,no RAWIN observation (unfavorable weather)
RAWI,no RAWIN observation (high and gusty winds)
RAWIN,upper winds observation
RCAG,remote communications air ground
RCC,rescue coordination center
RCD,radar cloud detection report
RCDNA,radar cloud detection report not available
RCDNE,radar cloud detection report no echoes observed
RCDNO,radar cloud detector inoperative due to breakdown until
RCDOM,radar cloud detector inoperative due to maintenance until
RCH,reach
RCHD,reached
RCHG,reaching
RCHS,reaches
RCKY,Rocky
RCKYS,Rockies
RCL,runway centerline
RCLL,runway centerline light system
RCLM,runway center line markings
RCMD,recommend
RCMDD,recommended
RCMDG,recommending
RCMDS,recommends
RCO,remote communications outlet
RCRD,record
RCRDS,records
RCRNR,base operations closed
RCV,receive
RCVD,received
RCVG,receiving
RCVS,receives
RDC,reduce
RDG,ridge
RDGG,ridging
RDR,radar
RDVLP,redevelop
RDVLPG,redeveloping
RDVLPMT,redevelopment
RDWND,radar dome wind
RE,regard
REC,receive/receiver
RECON,reconnaissance
RED,red
REF,reference
REIL,runway end identifier lights
RELC,relocated
RENL,runway end identifier lights
REP,ram entrance point
REP,reporting point
REPL,replace
REPLD,replaced
REPLG,replacing
REPLS,replaces
REQ,request
REQS,requests
REQSTD,requested
RES,reserve
RESP,response
RESTR,restrict
RGD,ragged
RGL,Regional Model
RGLR,regular
RGN,region
RGNS,regions
RGT,right
RH,relative humidity
RHI,Range Height Indicator
RHINO,RHI not operative
RI,Rhode Island
RIOGD,Rio Grande
RL,runway light
RLBL,reliable
RLLS,runway lead-in lights system
RLTV,relative
RLTVLY,relativily
RMK,remark
RMN,remain
RMND,remained
RMNDR,remainder
RMNG,remaining
RMNS,remains
RNAV,area navigation
RNFL,rainfall
RNP,required navigation performance
ROBEPS,radar operating below prescribed standard
ROC,rate of climb
ROT,rotate
ROTD,rotated
ROTG,rotating
ROTOR,rotor
ROTS,rotates
RPD,rapid
RPDLY,rapidly
RPLC,replace
RPLCD,replaced
RPLCG,replacing
RPLCS,replaces
RPRT,report
RPRTD,reported
RPRTG,reporting
RPRTS,reports
RPT,regular public transport
RPT,repeat
RPTG,repeating
RPTS,repeats
RQR,require
RQRD,required
RQRG,requiring
RQRS,requires
RRL,runway remaining lights
RS,receiver station
RSG,rising
RSN,reason
RSNG,reasoning
RSNS,reasons
RSR,en route surveillance radar
RSTR,restrict
RSTRD,restricted
RSTRG,restricting
RSTRS,restricts
RSVN,reservation
RT,right turn
RTD,Routine Delayed (late) observation
RTE,route
RTR,remote transmitter/receiver
RTRN,return
RTRND,returned
RTRNG,returning
RTRNS,returns
RTS,return to service
RUF,rough
RUFLY,roughly
RV,reportable value
RVR,runway visual range
RVRM,runway visual range midpoint
RVRNO,RVR system values not available
RVRR,runway visual range rollout
RVRT,runway visual range touchdown
RVS,revise
RVSD,revised
RVSG,revising
RVSM,reduced vertical separation minimum
RVSS,revises
RVV,runway visbility values
RW,rain shower
RWY,runway
RY,runway
S,south
SA,sand, sanded
SA,surface observation
SALR,saturated adiabatic lapse rate
SALS,short approach light system
SALSF,short approach light wystem with sequeced flashing lights
SAO,surface observation
SAOS,surface observations
SAR,search and rescue
SASK,Saskatchewan
SAT,saturday
SATCPM,satellite voice air ground calling
SATFY,satisfactory
SAWRS,supplemantary aviation weather reporting station
SB,southbound
SBB,single sideband
SBND,south bound
SBSD,subside
SBSDD,subsided
SBSDNC,subsidence
SBSDS,subsides
SC,South Carolina/stratocumulus
SCA,southern control area
SCND,second
SCNDRY,secondary
SCOB,scattered clouds or better
SCSL,stratocumulus standing lenticular cloud
SCT,scattered
SCTD,scattered
SCTR,sector
SD,South Dakota
SDF,simplified directional facility
SE,southeast
SEC,second
SEC,seconds
SELCAL,selective call system
SELS,severe local storms
SELY,southeasterly
SEPN,separation
SEQ,sequence
SERN,southeastern
SEV,severe
SEWD,southeastward
SF,sferic (radio interference caused by lightning strikes)
SFC,surface
SFERICS,Atmospherics
SFL,sequenced flashing lights
SFLOC,sferic location
SG,snow grains
SGD,solar-geophysical data
SGFNT,significant
SGFNTLY,significantly
SHFT,shift
SHFTD,shifted
SHFTG,shifting
SHFTS,shifts
SHLD,shield
SHLW,shallow
SHR,shear
SHRT,short
SHRTLY,shortly
SHRTWV,shortwave
SHRTWVS,shortwaves
SHUD,should
SHWR,shower
SHWRS,showers
SID,standard instrument departure
SIERNEV,Sierra Nevada
SIG,signature
SIGMET,significant meteorological information
SIMUL,simultaneous
SIMUL,simultaneous or simultaneously
SIR,packed or compacted snow and ice on runway(s)
SIR,snow and ice on runway(s)
SIWL,single isolated wheel load
SKC,clear sky
SKD,scheduled
SKED,schedule
SKED,scheduled
SLD,solid
SLGT,slight
SLGTLY,slightly
SLO,slow
SLOLY,slowly
SLOR,slower
SLP,sea-level pressure
SLP,speed limiting point
SLPG,sloping
SLPNO,sea-level pressure not available
SLR,slush on runway(s)
SLT,sleet
SLY,southerly
SM,statute mile(s)
SM,statute miles
SMGCS,surface movement guidance and control system
SMK,smoke
SML,small
SMLR,smaller
SMRY,summary
SMS,synchronus meteorological satellite
SMTH,smooth
SMTHR,smoother
SMTHST,smoothest
SMTM,sometime
SMWHT,somewhat
SN,snow
SNBNK,snow bank
SNBNK,snowbank(s) caused by plowing
SND,sand
SNFLK,snow flake
SNGL,single
SNINCR,snow increasing rapidly
SNO,snow
SNOINCR,snow increase
SNOINCRG,snow increasing
SNOW,snow
SNST,sunset
SNW,snow
SNWFL,snowfall
SOC,start of climb
SODALS,simplified omnidirectional approach lighting system
SOG,snow on the ground
SOP,standard operating procedure
SP,snow pellets/station pressure
SPCLY,especially
SPD,speed
SPDS,speeds
SPECI,special report
SPENES,satellite precipitation estimate statement
SPKL,sprinkle
SPKLS,sprinkles
SPLNS,Southern Plains
SPRD,spread
SPRDG,spreading
SPRDS,spreads
SPRL,spiral
SQAL,squall
SQLN,squall line
SR,sunrise
SR-SS,sunrise-to-sunset
SRA,special rules area
SRA,surveillance radar approach
SRE,surveillance radar element
SRN,southern
SRND,surround
SRNDD,surrounded
SRNDG,surrounding
SRNDS,surrounds
SS,sunset
SSALF,simplified short approach light system with sequenced flashing lights
SSALR,simplified short approach light system with runway alignment indicator lights
SSALS,simplified short approach light system
SSE,south-southeast
SSELY,south-southeasterly
SSERN,south-southeastern
SSEWD,south-southeastward
SSR,secondary serveillance radar
SST,sea surface temperature
SSW,south-southwest
SSWLY,south-southwesterly
SSWRN,south-southwestern
SSWWD,south-southwestward
ST,stratus cloud
ST-IN,straight in
STA,straight-in approach
STAGN,stagnation
STAR,standard terminal arrival
STBL,stable
STBLTY,stability
STD,standard
STDY,steady
STFR,stratus fractus
STFRA,stratus fractus
STFRM,stratiform
STG,strong
STGLY,strongly
STGR,stronger
STGST,strongest
STLT,satellite
STM,storm
STMS,storms
STN,station
STNRY,stationary
STNS,stations
STOL,short take off and landing
STR,water on runway(s)
STWS,Storm Tide Warning Service
SUB,substitute
SUBTRPCL,subtropical
SUF,sufficient
SUFLY,sufficiently
SUG,suggest
SUGG,suggesting
SUGS,suggests
SUN,sunday
SUP,supply
SUPG,supplying
SUPR,superior
SUPS,supplies
SUPSD,supersede
SUPSDG,superseding
SUPSDS,supersedes
SVC,service
SVG,serving
SVN,satellite vehicle number
SVR,severe
SVRL,several
SW+,heavy snow shower
SW,single wheel landing gear
SW,southwest
SW-,light snow shower
SWD,southward
SWEPT,swept or broom/broomed
SWLG,swelling
SWLY,southwesterly
SWOMCD,SELS Mesoscale Discussion
SWRN,southwestern
SWWD,southwestward
SX,stability index
SXN,section
SXNS,sections
SYNOP,synoptic report
SYNS,synopsis
SYS,system
T,thunder
TA,transition altitude
TAA,terminal arrival area
TACAN,tactical air navigation
TAF,Terminal Aerodrome Forecast
TAR,terminal area surveillance radar
TAS,true air speed
TBJT,turbojet
TCAS,traffic alert and collision avoidance system
TCH,threshold crossing height
TCNTL,transcontinental
TCTA,transcontinental control area
TCU,towering cumulus cloud
TDA,today
TDWR,terminal doppler weather radar
TDZ,lgt     touchdown zone lights
TDZ,touchdown zone
TDZE,thouchdown zone elevation
TEMP,temperature
TEMP,temporary
TEMPO,temporary/temporarily
TERPS,us standard for terminal instrument precedure
TFC,traffic
TFR,temporary flight restriction
TGL,touch and go landings
THD,thunderhead
THDR,thunder
THI,Temperature-Humidity Index
THK,thick
THKNG,thickening
THKNS,thickness
THKR,thicker
THKST,thickest
THLD,threshold
THN,thin
THNG,thinning
THNR,thinner
THNST,thinnest
THR,threshold
THRESH,threshold
THRFTR,thereafter
THRU,through
THRUT,throughout
THSD,thousand
THTN,threaten
THTND,threatened
THTNG,threatening
THTNS,threatens
THU,thursday
TIBA,traffic information broadcast by aircraft
TIL,until
TKOF,takeoff
TL,transition level
TM,traffic management
TMA,terminal control area
TML,terminal
TMN,terminates
TMPA,traffic management program alert
TMPRY,temporary
TMPRYLY,temporarilly
TMW,tomorrow
TN,Tennessee
TNDCY,tendency
TNDCYS,tendencies
TNGT,tonight
TNTV,tentative
TNTVLY,tentatively
TO,to
TODA,take off distance available
TOP,top
TOPS,tops
TORA,take off run available
TOVC,top of overcast
TPG,topping
TRACON,terminal radar approach control
TRANS,alt   transitiion altitude
TRANS,lev   transition level
TRBL,trouble
TRCV,tri color visual approach slope indicator
TRIB,tributary
TRKG,tracking
TRML,terminal
TRMT,terminate
TRMTD,terminated
TRMTG,terminating
TRMTS,terminates
TRNG,training
TRNSP,transport
TRNSPG,transporting
TROF,trough
TROFS,troughs
TROP,tropopause
TRPCD,tropical continental
TRPCL,tropical
TRPLYR,trapping layer
TRRN,terrain
TRSN,transition
TRW+,thunderstorm with heavy rain shower
TRW,thunderstorm
TS+,thunderstorm with heavy snow
TS,thunderstorm with snow
TSFR,transfer
TSFRD,transfered
TSFRG,transfering
TSFRS,transfers
TSHWR,thundershower
TSHWRS,thundershowers
TSNO,thunderstorm information not available
TSNT,transient
TSQLS,thundersqualls
TSTM,thunderstorm
TSTMS,thunderstorms
TSW+,thunderstorm with heavy snow showers
TSW,thunderstorm with snow showers
TUE,tuesday
TURB,turbulence
TURBC,turbulence
TURBT,turbulent
TVOR,terminal vor
TWD,toward
TWDS,towards
TWEB,transcribed weather broadcast
TWI,twilight
TWIP,terminal weather information for pilots
TWR,tower
TWRG,towering
TWY,taxiway
TX,Texas
UA,routine pilot report
UAG,upper atmosphere geophysics
UAV,unmanned air vehicles
UDDF,up and down drafts
UFN,until further notice
UHF,ultra high frequency
UIR,upper flight information region
UKMO,UK Met Office
UN,unable
UNAVBL,unavailable
UNCT'L,uncontrolled
UNEC,unnecessary
UNICOM,aeronautical advisory service
UNKN,unknown
UNL,unlimited
UNLGTD,unlighted
UNMKD,unmarked
UNMNT,unmonitored
UNREL,unreliable
UNRELBL,unreliable
UNRSTD,unrestricted
UNSATFY,unsatisfactory
UNSBL,unseasonable
UNSTBL,unstable
UNSTDY,unsteady
UNSTL,unsettle
UNSTLD,unsettled
UNUSBL,unusable
UPDFTS,updrafts
UPR,upper
UPSLP,upslope
UPSTRM,upstream
URG,urgent
USAF,US Air Force
USB,upper sideband
USBL,usable
USN,US Navy
UT,Utah
UTA,Upper Control Area
UTC,Coordinated Universal Time
UUA,urgent pilot report
UV,ultra-violet
UVV,upward vertical velocity
UVVS,upward vertical velocities
UWNDS,upper winds
V,varying/variable
V/V,vertical velocity
VA,Virginia
VAR,magnetic variation
VARN,variation
VASI,visual approach slope indicator
VC,(in the) vicinity
VCNTY,vicinity
VCOT,VFR conditions on top
VCTR,vector
VDP,visual descent point
VDUC,VAS Data Utilization Center (NSSFC)
VE,visual exempted
VFR,VFR
VFR,visual flight rules
VFY,verify
VFYD,verified
VFYG,verifying
VFYS,verifies
VGSI,visual glide slope indicator
VHA,volcanic hazard area
VHF,very high frequency
VIA,by way of
VICE,instead/versus
VIRGA,virga
VIS,visible/visibility
VIS,visiblility
VISNO,visibility at secondary location not available
VLCTY,velocity
VLCTYS,velocities
VLNT,violent
VLNTLY,violently
VLY,valley
VLYS,valleys
VMC,Visual Meteorological Conditions
VNAP,vertical noise abatement procedures
VNAV,vertical navigation
VOL,volume
VOLMET,meteorological information aircraft in flgiht
VOR,vhf omnidirectional range
VORT,vorticity
VORTAC,vor and tacan co-located
VOT,radiated test sgnal for vor
VPA,vertical path angle
VR,visual range/veer
VRB,variable
VRBL,variable
VRG,veering
VRISL,Vancouver Island, BC
VRS,Veers
VRT MOTN,Vertical Motion
VRY,very
VSB,visible
VSBY,visibility
VSBYDR,visibility decreasing rapidly
VSBYIR,visibility increasing rapidly
VT,Vermont
VV,vertical visibility
W,west
W/O,without
W/P,area navigation
WA,Washington
WAA,Warm Air Advection
WB,westbound
WBND,west bound
WDC-1,world data centers in western europe
WDC-2,world data centers throughout rest of world
WDLY,widely
WDSPRD,widespread
WEA,weather
WED,wednesday
WEF,with effect from or effective from
WFO,Weather Forecast Office
WFOS,Weather Forecast Offices
WFP,warm front passage
WG/AOS,Working Group for Atmospheric Observing Systems
WG/SO,Working Group for Surface Observations
WHT,white
WI,Wisconsin
WI,within
WIBIS,will be issued
WINT,winter
WK,weak
WKDAY,weekday
WKDAYS,monday through friday
WKEND,saturday and sunday
WKEND,weekend
WKN,weaken
WKNG,weakening
WKNS,weakens
WKR,weaker
WKST,weakest
WL,will
WLY,westerly
WMO,World Meteorological Organization
WND,wind
WNDS,winds
WNW,west-northwest
WNWLY,west-northwesterly
WNWRN,west-northwestern
WNWWD,west-northwestward
WO,without
WPLTO,Western Plateau
WPT,waypoint
WR,wet runway
WRM,warm
WRMFNT,warm front
WRMFNTL,warm frontal
WRMG,warming
WRMR,warmer
WRMST,warmest
WRN,western
WRNG,warning
WRNGS,warnings
WRS,worse
WS,wind shear
WSFO,Weather Service Forecast Office
WSFOS,Weather Service Forecast Offices
WSHFT,wind shift
WSHFTS,wind shifts
WSO,Weather Service Office
WSOM,Weather Service Operations Manual
WSOS,Weather Service Offices
WSR,wet snow on runway(s)
WSTCH,Wasatch Range
WSW,west-southwest
WSWLY,west-southwesterly
WSWRN,west-southwestern
WSWWD,west-southwestward
WTR,water
WTRS,waters
WTSPT,waterspout
WTSPTS,waterspouts
WUD,would
WV,West Virginia/wave
WVS,waves
WW,Severe Weather Watch
WWAMKC,Status Report
WWD,westward
WWS,Severe Weather Watches
WX,weather
WXCON,weather reconnaissance flight pilot report
WY,Wyoming
X,on request
XCP,except
XPC,expect
XPCD,expected
XPCG,expecting
XPCS,expects
XPLOS,explosive
XTND,extend
XTNDD,extended
XTNDG,extending
XTRM,extreme
XTRMLY,extremely
Y/S,unservicable
YDA,yesterday
YKN,Yukon
YLO,yellow
YLSTN,Yellowstone
Z,Zulu (i.e. Coordinated Universal Time)
ZI,zonal index/zone of interior
ZL,freezing drizzle
ZN,zone
ZNS,zones
ZR,freezing rain
ZRNO,freezing rain information not available
